Flight No.,Date and time ( UTC ),"Version, booster",Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing,Version Booster,Date,Time
418,2025-01-04 01:27:00,F9 -B5 B1073-20,"Cape Canaveral, SLC‑40",Thuraya 4-NGS,"5,000 kg",GTO,Thuraya,Success,Success (ASOG),F9 -B5 B1073-20,2025-01-04,01:27:00
419,2025-01-06 20:43:00,F9 -B5 B1077-17,"Cape Canaveral, SLC‑40",Starlink: Group 6‑71,"~17,500 kg",LEO,SpaceX,Success,Success (JRTI),F9 -B5 B1077-17,2025-01-06,20:43:00
420,2025-01-08 15:27:00,F9 -B5 B1086-3,"Kennedy, LC‑39A",Starlink: Group 12-11 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (ASOG),F9 -B5 B1086-3,2025-01-08,15:27:00
421,2025-01-10 03:53:00,F9 -B5 B1071-22,"Vandenberg, SLC‑4E",NROL-153 (22 Starshield satellites)[34],U,LEO,NRO,Success,Success (OCISLY),F9 -B5 B1071-22,2025-01-10,03:53:00
422,2025-01-10 19:11:00,F9 -B5 B1067-25,"Cape Canaveral, SLC‑40",Starlink: Group 12-12 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (JRTI),F9 -B5 B1067-25,2025-01-10,19:11:00
423,2025-01-13 16:47:00,F9 -B5 B1080-15,"Cape Canaveral, SLC‑40",Starlink: Group 12-4 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (ASOG),F9 -B5 B1080-15,2025-01-13,16:47:00
424,2025-01-14 19:09:00,F9 -B5 B1088-2,"Vandenberg, SLC‑4E",Transporter-12 (131 payload smallsat rideshare),"2,000 kg",SSO,Various,Success,Success (LZ‑4),F9 -B5 B1088-2,2025-01-14,19:09:00
425,2025-01-15 06:11:00,F9 -B5 B1085-5,"Kennedy, LC‑39A",Blue Ghost Mission 1,"2,517 kg",TLI,Firefly Aerospace & NASA (CLPS),Success,Success (JRTI),F9 -B5 B1085-5,2025-01-15,06:11:00
426,2025-01-21 05:24:00,F9 -B5 B1083-8,"Kennedy, LC‑39A",Starlink: Group 13-1 (21 satellites) + 2 Starshield satellites,"~15,300 kg",LEO,SpaceX,Success,Success (ASOG),F9 -B5 B1083-8,2025-01-21,05:24:00
427,2025-01-21 15:45:00,F9 -B5 B1082-10,"Vandenberg, SLC‑4E",Starlink: Group 11-8 (27 satellites),"~15,500 kg",LEO,SpaceX,Success,Success (OCISLY),F9 -B5 B1082-10,2025-01-21,15:45:00
428,2025-01-24 14:07:00,F9 -B5 B1063-23,"Vandenberg, SLC‑4E",Starlink: Group 11-6 (23 satellites),"~17,100 kg",LEO,SpaceX,Success,Success (OCISLY),F9 -B5 B1063-23,2025-01-24,14:07:00
429,2025-01-27 22:05:00,F9 -B5 B1076-20,"Cape Canaveral, SLC‑40",Starlink: Group 12-7 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (ASOG),F9 -B5 B1076-20,2025-01-27,22:05:00
430,2025-01-30 01:34:00,F9 -B5 B1073-21,"Kennedy, LC‑39A",Spainsat NG I,"6,100 kg",GTO,Hisdesat,Success,No attempt,F9 -B5 B1073-21,2025-01-30,01:34:00
431,2025-02-01 23:02:00,F9 -B5 B1075-17,"Vandenberg, SLC-4E",Starlink: Group 11-4,"~16,700 kg",LEO,SpaceX,Success,Success (OCISLY),F9 -B5 B1075-17,2025-02-01,23:02:00
432,2025-02-04 10:15:00,F9 -B5 B1069-21,"Cape Canaveral, SLC‑40",Starlink: Group 12-3 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (JRTI),F9 -B5 B1069-21,2025-02-04,10:15:00
433,2025-02-04 23:13:00,F9 -B5 B1086-4,"Kennedy, LC‑39A",WorldView Legion 5 & 6 (2 satellites),"1,500 kg",LEO,Maxar Technologies,Success,Success (LZ‑1),F9 -B5 B1086-4,2025-02-04,23:13:00
434,2025-02-08 19:18:00,F9 -B5 B1078-17,"Cape Canaveral, SLC‑40",Starlink: Group 12-9 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (ASOG),F9 -B5 B1078-17,2025-02-08,19:18:00
435,2025-02-11 02:09:00,F9 -B5 B1071-23,"Vandenberg, SLC-4E",Starlink: Group 11-10,"~17,100 kg",LEO,SpaceX,Success,Success (OCISLY),F9 -B5 B1071-23,2025-02-11,02:09:00
436,2025-02-11 18:53:00,F9 -B5 B1077-18,"Cape Canaveral, SLC‑40",Starlink: Group 12-18 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (JRTI),F9 -B5 B1077-18,2025-02-11,18:53:00
437,2025-02-15 06:14:00,F9 -B5   B1067-26,"Cape Canaveral, SLC‑40",Starlink: Group 12-8,"~16,500 kg",LEO,SpaceX,Success,Success (ASOG),F9 -B5   B1067-26,2025-02-15,06:14:00
438,2025-02-18 23:21:00,F9 -B5 B1080-16,"Cape Canaveral, SLC‑40",Starlink: Group 10-12 (23 satellites),"~17,100 kg",LEO,SpaceX,Success,Success (JRTI),F9 -B5 B1080-16,2025-02-18,23:21:00
439,2025-02-21 15:19:00,F9 -B5 B1076-21,"Cape Canaveral, SLC‑40",Starlink: Group 12-14 (23 satellites),"~17,100 kg",LEO,SpaceX,Success,Success (ASOG),F9 -B5 B1076-21,2025-02-21,15:19:00
440,2025-02-23 01:38:00,F9 -B5 B1082-11,"Vandenberg, SLC‑4E",Starlink: Group 15-1 (22 satellites),"~16,800 kg",LEO,SpaceX,Success,Success (OCISLY),F9 -B5 B1082-11,2025-02-23,01:38:00
441,2025-02-27 00:16:00,F9 -B5 B1083-9,"Kennedy, LC‑39A[66]","IM-2 Nova-C ""Athena"" lunar landerLunar TrailblazerBrokkr-2 Odin[67]Chimera-1TBD",U,TLI,NASA (CLPS)Intuitive MachinesAstroForgeEpic AerospaceTBD,Success,Success (ASOG),F9 -B5 B1083-9,2025-02-27,00:16:00
442,2025-02-27 03:34:00,F9 -B5 B1092-1 [ 70 ],"Cape Canaveral, SLC‑40",Starlink: Group 12-13 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Success (JRTI),F9 -B5 B1092-1 [ 70 ],2025-02-27,03:34:00
443,2025-03-03 02:24:00,F9 -B5 B1086-5,"Cape Canaveral, SLC‑40",Starlink: Group 12-20 (21 satellites),"~16,500 kg",LEO,SpaceX,Success,Failure (JRTI),F9 -B5 B1086-5,2025-03-03,02:24:00
